Job Title,Salary,Requirements,Company,Location,Industry,Company Size,Education,Job Type,Posted Date,Job Link
MARKET DEVELOPMENT SPECIALIST,"₱20,000.00","•	Graduate in agriculture•	Having 1-2 years of experience in the same field is an advantage•	Team player with a positive attitude•	Strong technical working knowledge•	excellent verbal and written communication skills•	with own motorcycle•	with driver’s license•	newly graduates are encouraged to apply, •	Having 1-2 years of experience in the same field is an advantage, •	Team player with a positive attitude, •	Strong technical working knowledge, •	excellent verbal and written communication skills, •	with own motorcycle, •	with driver’s license, •	newly graduates are encouraged to apply, , ",BIOSTADT PHILIPPINES INC.,"TUBA, BENGUET",AGRICULTURE,100 - 199 (Medium),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/market-development-specialist-1042787
CUSTOMER SERVICE ASSISTANT,"₱18,000.00","At least a high school graduate (old curriculum) or senior high school graduate (new curriculum)Good to excellent English communication skillsBasic web navigation skillsA Filipino citizen or hold relevant residence statusWith or without Call Center ExperienceValid NBI (6 months to 1 year from date of joining)Willing to start immediately, Good to excellent English communication skills, Basic web navigation skills, A Filipino citizen or hold relevant residence status, With or without Call Center Experience, Valid NBI (6 months to 1 year from date of joining), Willing to start immediately",TELEPHILIPPINES INCORPORATED,"BACOLOD CITY (CAPITAL), NEGROS OCCIDENTAL","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),HIGH SCHOOL GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/customer-service-assistant-1042786
CUSTOMER SERVICE ASSISTANT,"₱18,000.00","At least a high school graduate (old curriculum) or senior high school graduate (new curriculum)Good to excellent English communication skillsBasic web navigation skillsA Filipino citizen or hold relevant residence statusWith or without Call Center ExperienceValid NBI (6 months to 1 year from date of joining)Willing to start immediately, Good to excellent English communication skills, Basic web navigation skills, A Filipino citizen or hold relevant residence status, With or without Call Center Experience, Valid NBI (6 months to 1 year from date of joining), Willing to start immediately",TELEPHILIPPINES INCORPORATED,"CEBU CITY (CAPITAL), CEBU","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),HIGH SCHOOL GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/customer-service-assistant-1042785
CUSTOMER SERVICE ASSISTANT,"₱16,000.00",Minimum Qualifications:At least a high school graduate (old curriculum) or senior high school graduate (new curriculum)Good to excellent English communication skillsBasic web navigation skillsA Filipino citizen or hold relevant residence statusWith or without Call Center ExperienceValid NBI (6 months to 1 year from date of joining)Willing to start immediatelyWork At Home Requirements:Highly stable internet connection with no packet loss - 15mbpsWired connection from modem/router to PCConducive workspace away from distractions,TELEPHILIPPINES INCORPORATED,"CAGAYAN DE ORO CITY (CAPITAL), MISAMIS ORIENTAL","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),Educ level not specified,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/customer-service-assistant-1042783
PHYSIOTHERAPIST,Salary not specified,"BSc in Physiotherapy degree programme an applicant shall hold the National Senior Certificate (NSC), endorsed by Umalusi, or an equivalent qualification with an aggregate of at least 60% (level 5) (excluding Life Orientation) and with at least 60% (level 5)",JENERICK INTERNATIONAL MANPOWER INC.,BAHRAIN,HOTELS AND RESTAURANTS; MANUFACTURING; ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS AND UNDIFFENTIATED PRODUCTION ACTIVITIES OF PRIVATE; HEALTH AND SOCIAL WORK,200 and over (Large),Educ level not specified,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/physiotherapist-1042782
MARKET DEVELOPMENT SPECIALIST,"₱20,000.00","•	Graduate in agriculture•	Having 1-2 years of experience in the same field is an advantage•	Team player with a positive attitude•	Strong technical working knowledge•	excellent verbal and written communication skills•	with own motorcycle•	with driver’s license•	newly graduates are encouraged to apply, •	Having 1-2 years of experience in the same field is an advantage, •	Team player with a positive attitude, •	Strong technical working knowledge, •	excellent verbal and written communication skills, •	with own motorcycle, •	with driver’s license, •	newly graduates are encouraged to apply, ",BIOSTADT PHILIPPINES INC.,"CITY OF KORONADAL (CAPITAL), SOUTH COTABATO",AGRICULTURE,100 - 199 (Medium),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/market-development-specialist-1042781
SERVICE CREW,₱450.00,- Must be 18 to 30 years old- Male or Female- Senior High Graduate or College undergraduate or College graduate- Preferably a residence of Tuguegarao City and nearby towns- Willing to have a rotating shifts,MCDONALD'S TUGUEGARAO,"TUGUEGARAO CITY (CAPITAL), CAGAYAN",HOTELS AND RESTAURANTS,10 - 99 (Small),4TH YEAR HIGH SCHOOL/GRADE X (FOR K TO 12),Part-time,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/service-crew-1042780
MARKET SALESPERSON,"₱30,000.00","Qualifications:Graduate of bachelor's degree in any courseMust have experience in the Sales Appliance Industry at least 2 years.Can do fieldwork.Preferably owner of a Car or a MotorcycleCan start asap, ",HAIER ELECTRICAL APPLIANCES PHILIPPINES INC,CITY OF ISABELA (CAPITAL),WHOLESALE AND RETAIL TRADE,100 - 199 (Medium),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/market-salesperson-1042779
MARKET DEVELOPMENT SPECIALIST,Salary not specified,"•	Graduate in agriculture•	Having 1-2 years of experience in the same field is an advantage•	Team player with a positive attitude•	Strong technical working knowledge•	excellent verbal and written communication skills•	with own motorcycle•	with driver’s license•	newly graduates are encouraged to apply, , •	Graduate in agriculture, •	Having 1-2 years of experience in the same field is an advantage, •	Team player with a positive attitude, •	Strong technical working knowledge, •	excellent verbal and written communication skills, •	with own motorcycle, •	with driver’s license, •	newly graduates are encouraged to apply, ",BIOSTADT PHILIPPINES INC.,"GENERAL SANTOS CITY (DADIANGAS), SOUTH COTABATO",AGRICULTURE,100 - 199 (Medium),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/market-development-specialist-1042778
OCCUPATIONAL HEALTH NURSE,Salary not specified,"1. Must be a Registered Nurse2. OHNAP Certified (BOSH For Nurses)3. Microsoft Office Proficient4. Proficient in Written and Verbal Communication5. Must be flexible and willing to work overtime6. Must have atleast one (1) year experience as an Occupational Health Nurse7. Driving skills is of advantage, 2. OHNAP Certified (BOSH For Nurses), 3. Microsoft Office Proficient, 4. Proficient in Written and Verbal Communication, 5. Must be flexible and willing to work overtime, 6. Must have atleast one (1) year experience as an Occupational Health Nurse, 7. Driving skills is of advantage, ","JOHNSON CONTROLS-HITACHI AIR CONDITIONING PHILIPPINES, INC.","OLONGAPO CITY, ZAMBALES",MANUFACTURING,200 and over (Large),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/occupational-health-nurse-1042774
PHARMACIST (GENERAL),"₱20,000.00","Must be a Licensed/Registered PharmacistWith more than 2 years of work experience in the field of RegulatoryHas expertise in ACTD RequirementsGood English communication skills and can type fast and accuratelyAble to handle and immerse lots of information about FDA ApplicationsHighly self-motivated, goal-oriented, and committed to pursuing a long-term career.Exceptionally well organized and strong work ethic.",AMBICA INTERNATIONAL TRADING CORP.,"CITY OF PARAÑAQUE, NCR, FOURTH DISTRICT",WHOLESALE AND RETAIL TRADE,200 and over (Large),Educ level not specified,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/pharmacist-general-1042767
ADMINISTRATIVE CLERK,₱610.00,Qualifications/requirements not specified,WERCHER SOLUTIONS AND RESOURCES WORKERS COOPERATIVE,"CITY OF MANILA, NCR, FIRST DISTRICT","MANUFACTURING; OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),COLLEGE GRADUATE,Project-based,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/administrative-clerk-1042765
FINANCE ASSOCIATE PROFESSIONAL,"₱17,000.00","FINANCE ASSOCIATE - TAXFINANCE DEPARTMENTJOB QUALIFICATIONGraduate of BS Accountancy or Accounting related coursesPreferably with relevant experience in Accounting firms/workProficient in using Excel and its functionsGood knowledge of accounting practicesWith good communication & interpersonal skillsMust be detail-oriented and observant to catch errorsAbility to work under pressureFINANCE ASSOCIATE - ACCOUNTS PAYABLEFINANCE DEPARTMENTJOB QUALIFICATIONGraduate of BS Accountancy or Accounting related coursesPreferably with relevant experience in Accounting firms/workExperience in the Accounts Payable process is a plusFamiliarity with SAP, NetSuite or any ERP system is an advantageProficient in using Excel and its functionsFINANCE ASSOCIATE - INVENTORYFINANCE DEPARTMENTJOB QUALIFICATIONGraduate of BS Accountancy or Accounting related coursesPreferably with relevant experience in Accounting firms/workFamiliarity with inventory controls and compliances is a plusExperience in Inventory reconciliation is an advantageFamiliarity with SAP, NetSuite, or any ERP system is an advantageEfficient in using Microsoft Office applicationFINANCE ASSOCIATE - TREASURYFINANCE DEPARTMENTJOB QUALIFICATIONGraduate of BS Accountancy or Accounting related coursesPreferably with relevant experience in Accounting firms/workFamiliarity with SAP, NetSuite, or any ERP system is an advantageExperience in Bank reconciliation and analysis is an advantageMicrosoft Office proficiencyFINANCE ASSOCIATE – GL RECONCILIATION AND ANALYSISFINANCE DEPARTMENTJOB QUALIFICATIONGraduate of BS Accountancy or Accounting related coursesPreferably with relevant experience in Accounting firms/workFamiliarity with SAP, NetSuite, or any ERP system is an advantageExperience in GL reconciliation and analysis is a plusMicrosoft Office proficient, FINANCE DEPARTMENT, JOB QUALIFICATION, Graduate of BS Accountancy or Accounting related courses, Preferably with relevant experience in Accounting firms/work, Proficient in using Excel and its functions, Good knowledge of accounting practices, With good communication & interpersonal skills, Must be detail-oriented and observant to catch errors, Ability to work under pressure, FINANCE ASSOCIATE - ACCOUNTS PAYABLE, FINANCE DEPARTMENT, JOB QUALIFICATION, Graduate of BS Accountancy or Accounting related courses, Preferably with relevant experience in Accounting firms/work, Experience in the Accounts Payable process is a plus, Familiarity with SAP, NetSuite or any ERP system is an advantage, Proficient in using Excel and its functions, FINANCE ASSOCIATE - INVENTORY, FINANCE DEPARTMENT, JOB QUALIFICATION, Graduate of BS Accountancy or Accounting related courses, Preferably with relevant experience in Accounting firms/work, Familiarity with inventory controls and compliances is a plus, Experience in Inventory reconciliation is an advantage, Familiarity with SAP, NetSuite, or any ERP system is an advantage, Efficient in using Microsoft Office application, FINANCE ASSOCIATE - TREASURY, FINANCE DEPARTMENT, JOB QUALIFICATION, Graduate of BS Accountancy or Accounting related courses, Preferably with relevant experience in Accounting firms/work, Familiarity with SAP, NetSuite, or any ERP system is an advantage, Experience in Bank reconciliation and analysis is an advantage, Microsoft Office proficiency, FINANCE ASSOCIATE – GL RECONCILIATION AND ANALYSIS, FINANCE DEPARTMENT, JOB QUALIFICATION, Graduate of BS Accountancy or Accounting related courses, Preferably with relevant experience in Accounting firms/work, Familiarity with SAP, NetSuite, or any ERP system is an advantage, Experience in GL reconciliation and analysis is a plus, Microsoft Office proficient, ",AMBICA INTERNATIONAL TRADING CORP.,"CITY OF PARAÑAQUE, NCR, FOURTH DISTRICT",WHOLESALE AND RETAIL TRADE,200 and over (Large),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/finance-associate-professional-1042762
UTILITY WORKER,₱610.00,Qualifications/requirements not specified,WERCHER SOLUTIONS AND RESOURCES WORKERS COOPERATIVE,"CITY OF MANILA, NCR, FIRST DISTRICT","MANUFACTURING; OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),HIGH SCHOOL GRADUATE,Project-based,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/utility-worker-1042759
TRAINING OFFICER,Salary not specified,"•	Must be graduates of BS Human Resource Management, Engineering or equivalent. Preferably with Master’s Degree in Business Administration.•	Ten (10) years minimum experience of supervisory role and has solid understanding and/or experience of training & development processes and procedures.•	Must have strong leadership skills, passion for results, teaching and public speaking.•	With excellent verbal, written communication skills and strong presentation skills. Adept with a variety of multimedia training platforms and methods.•	With excellent interpersonal skills and teamwork abilities – able to effectively communicate ideas and effectively work with others of diverse roles, levels, and backgrounds.•	Has strong operational / business management skills – able to effectively handle time and resources to deliver critical outcomes.•	With excellent administrative skills – organized, able to plan, and detail oriented to execute and deliver targets.•	Able to design and implement effective training and development programs.•	Can supervise staff to ensure quality and efficiency., •	Ten (10) years minimum experience of supervisory role and has solid understanding and/or experience of training & development processes and procedures., •	Must have strong leadership skills, passion for results, teaching and public speaking., •	With excellent verbal, written communication skills and strong presentation skills. Adept with a variety of multimedia training platforms and methods., •	With excellent interpersonal skills and teamwork abilities – able to effectively communicate ideas and effectively work with others of diverse roles, levels, and backgrounds., •	Has strong operational / business management skills – able to effectively handle time and resources to deliver critical outcomes., •	With excellent administrative skills – organized, able to plan, and detail oriented to execute and deliver targets., •	Able to design and implement effective training and development programs., •	Can supervise staff to ensure quality and efficiency., ",JGC PHILIPPINES INC,"CITY OF MUNTINLUPA, NCR, FOURTH DISTRICT",CONSTRUCTION,200 and over (Large),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/training-officer-1042757
TRANSPORT CLERK,"₱15,000.00"," Male or Female Willing to be deployed in Manila Terminal, Tondo Manila.",WERCHER SOLUTIONS AND RESOURCES WORKERS COOPERATIVE,"CITY OF MANILA, NCR, FIRST DISTRICT","MANUFACTURING; OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),COLLEGE GRADUATE,Project-based,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/transport-clerk-1042756
PROMO SALESPERSON,Salary not specified,"-Male & Female-At least 2nd year Level in College-Preferable with experience-With Interpersonal Relations & Selling Abilities, -At least 2nd year Level in College, -Preferable with experience, -With Interpersonal Relations & Selling Abilities","TRIPLE  E MANPOWER AND GENERAL SERVICE, INC","BUTUAN CITY (CAPITAL), AGUSAN DEL NORTE","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),1ST YEAR COLLEGE LEVEL,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/promo-salesperson-1042755
SAFETY INSPECTOR,"₱15,000.00"," Preferably Male Willing to be deployed in Manila Terminal, Tondo Manila.",WERCHER SOLUTIONS AND RESOURCES WORKERS COOPERATIVE,"CITY OF MANILA, NCR, FIRST DISTRICT","MANUFACTURING; OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),Educ level not specified,Project-based,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/safety-inspector-1042753
MARKETING ASSISTANT,"₱13,000.00","Qualifications:Bachelor’s degree in any fieldPrevious experience in digital marketing or a related role is preferred.Familiarity with social media platforms, email marketing tools, and content management systems (CMS).Strong written and verbal communication skills.Proficiency in Microsoft Office Suite and Google Workspace.Ability to multitask and manage time effectively.Skills:Creative thinking and problem-solving abilities.Strong organizational skills and attention to detail.Ability to work independently and collaboratively in a team environment.Knowledge of digital marketing trends and best practices.Experience with graphic design tools (e.g., Adobe Creative Suite) is a plus., , Bachelor’s degree in any field, Previous experience in digital marketing or a related role is preferred., Familiarity with social media platforms, email marketing tools, and content management systems (CMS)., Strong written and verbal communication skills., Proficiency in Microsoft Office Suite and Google Workspace., Ability to multitask and manage time effectively., Skills:, Creative thinking and problem-solving abilities., Strong organizational skills and attention to detail., Ability to work independently and collaboratively in a team environment., Knowledge of digital marketing trends and best practices., Experience with graphic design tools (e.g., Adobe Creative Suite) is a plus., , ",TOPHOMES REAL ESTATE SERVICES,"ILOILO CITY (CAPITAL), ILOILO","REAL ESTATE, RENTING AND BUSINESS ACTIVITIES",1 - 9 (Micro),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/marketing-assistant-1042751
PUBLIC RELATIONS MANAGER,Salary not specified,"KEY POSITION CRITERIA:Tertiary qualifications in journalism, creative writing or communications with a minimum of 4 years’ experiencePossess an extensive media contact/distribution list for AsiaHave existing working relationships with a range of media in the Asia regionsPreferably have a working relationship with airlines re. familsExperience in a similar role in preparing copy for publications, marketing and advertising collateral.Positive ‘can do’ attitude combined with customer service outlookMust be a good problem solver and a loyal team playerAttention to detail, thoroughness and accuracy is essentialMedium-level computer skills in Macintosh (e.g. Acrobat, InDesign) and high-level skills in Microsoft Office suite, ",TRAVEL + LEISURE GLOBAL SUPPORT SERVICES (PHILIPPINES) INC.,"ANGELES CITY, PAMPANGA","REAL ESTATE, RENTING AND BUSINESS ACTIVITIES",200 and over (Large),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/public-relations-manager-1042738
REFRIGERATION AND AIRCONDITIONING TECHNICIAN,₱0.00,"*Certification in Refrigeration*Ability to multitask and liaise with professionals in different fields.*Ability to explain problems simply and clearly*Ability to understand verbal and written instructions*Ability to follow health and safety regulations, *Ability to multitask and liaise with professionals in different fields., *Ability to explain problems simply and clearly, *Ability to understand verbal and written instructions, *Ability to follow health and safety regulations",PRO-DIGIES INC,"MANDAUE CITY, CEBU",ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS AND UNDIFFENTIATED PRODUCTION ACTIVITIES OF PRIVATE,200 and over (Large),Educ level not specified,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/refrigeration-and-airconditioning-technician-1042737
MIXER DRIVER,Salary not specified,Qualifications/requirements not specified,SCMIX BUILDERS INC.,"PAVIA, ILOILO",CONSTRUCTION,10 - 99 (Small),HIGH SCHOOL GRADUATE,Job type not specified,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/mixer-driver-1042736
OPERATIONS OFFICER,Salary not specified,Fresh Graduates are welcome to apply!,SCMIX BUILDERS INC.,"PAVIA, ILOILO",CONSTRUCTION,10 - 99 (Small),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/operations-officer-1042735
SALES OFFICER,Salary not specified,Fresh Graduates are welcome to apply!,ZKO GROUP DISTRIBUTORS,"PAVIA, ILOILO",WHOLESALE AND RETAIL TRADE,10 - 99 (Small),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-officer-1042732
MARKETING EXECUTIVE,Salary not specified,"KEY POSITION CRITERIA:Bachelor’s or master’s degree in marketing or a related field.Proven working experience in digital marketing, particularly within the industry.Demonstrable experience leading and managing content, SEO, SEM, marketing database, newsletter, social media, and marketing campaigns.Experience in optimizing landing pages and user funnels.Experience with A/B and multivariate experiments.Solid knowledge of website and marketing analytics tools, ideally certified (e.g., Google Analytics, HubSpot, Google Ads, SEMRush, WordPress etc.).Working knowledge of ad serving tools.Experience in managing projects and agency relationships.Experience in hiring, managing and developing direct reports.Experience in setting up and optimizing PPC campaigns on all major search engines.Basic knowledge of HTML, CSS, and JavaScript.Familiar with web designing and development.Able to build trust and maintain credible relationships with stakeholders, partners and colleagues.Adaptable in a fast-paced environment, shows drive, initiative, and creativity., ",TRAVEL + LEISURE GLOBAL SUPPORT SERVICES (PHILIPPINES) INC.,"ANGELES CITY, PAMPANGA","REAL ESTATE, RENTING AND BUSINESS ACTIVITIES",200 and over (Large),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/marketing-executive-1042731
SALESMAN,Salary not specified,"-Male-Graduate of any 4 years Business Course-With Good Interpersonal Skills & Selling abilities, -Graduate of any 4 years Business Course, -With Good Interpersonal Skills & Selling abilities, ","TRIPLE  E MANPOWER AND GENERAL SERVICE, INC","BUTUAN CITY (CAPITAL), AGUSAN DEL NORTE","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/salesman-1042730
ACCOUNTING ASSISTANT,Salary not specified,Qualifications/requirements not specified,ZKO GROUP DISTRIBUTORS,"PAVIA, ILOILO",WHOLESALE AND RETAIL TRADE,10 - 99 (Small),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/accounting-assistant-1042729
HUMAN RESOURCE DEVELOPMENT OFFICER,Salary not specified,"KEY POSITION CRITERIA:Must have a Bachelor’s/College Degree in Human Resources or related disciplineAt least 3 years experience in a similar roleProficient in Microsoft applicationsExperienced and knowledgeable to Philippine Labor Code plus other facets of HRExcellent time management skills with the ability to meet strict deadlinesExceptional attention to detail and high level of accuracyAbility to work effectively and efficiently under pressureHigh level of integrityExcellent communication skillsAbility to work with minimal supervision, ",TRAVEL + LEISURE GLOBAL SUPPORT SERVICES (PHILIPPINES) INC.,"ANGELES CITY, PAMPANGA","REAL ESTATE, RENTING AND BUSINESS ACTIVITIES",200 and over (Large),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/human-resource-development-officer-1042723
DATA ENCODER,Salary not specified,"- Female-Graduate of any 4 years Computer Related Course-With Pleasing Personality, -Graduate of any 4 years Computer Related Course, -With Pleasing Personality","TRIPLE  E MANPOWER AND GENERAL SERVICE, INC","BUTUAN CITY (CAPITAL), AGUSAN DEL NORTE","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/data-encoder-1042722
SENIOR ACCOUNTANT,Salary not specified,"WORKING EXPERIENCE / QUALIFICATIONS / SKILLS:Degree in Accountancy or equivalent, with minimum 5 years relevant accounting/audit experience. Experience in a Big 4 Accounting Firm will be an advantagesHolds current CPA accreditation;Proficient in Microsoft Office applications;Able to manage and prioritise time and be committed to meet deadlines for assigned tasks and deliverables;Meticulous with an eye for detail and have strong analytical capabilities;Able to work independently with minimum supervision;Strong written and verbal communication skills;Displays initiative and a positive attitude that would contribute to a harmonious team working environment.",TRAVEL + LEISURE GLOBAL SUPPORT SERVICES (PHILIPPINES) INC.,"ANGELES CITY, PAMPANGA","REAL ESTATE, RENTING AND BUSINESS ACTIVITIES",200 and over (Large),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/senior-accountant-1042716
ADMINISTRATIVE CLERK,Salary not specified,At least college level - 2nd year college / Vocational graduate of any courseComputer LiterateGood English communication skillsKnowledgeable in using Microsoft ExcelWilling to be assigned within Metro Manila AreasCan start immediately,DIAR'S ASSISTANCE INCORPORATED,"CITY OF MAKATI, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),2ND YEAR COLLEGE LEVEL,Job type not specified,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/administrative-clerk-1042715
OFFICE CLERK,₱0.00,"*Graduate of Business Administration or any related course*Willing to render overtime*Trainable*Basic knowledge in MS softwares, *Willing to render overtime, *Trainable, *Basic knowledge in MS softwares",PRO-DIGIES INC,"LILOAN, CEBU",ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS AND UNDIFFENTIATED PRODUCTION ACTIVITIES OF PRIVATE,200 and over (Large),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/office-clerk-1042711
SENIOR ACCOUNTANT,Salary not specified,"Job Specifications:➢ Graduate of Bachelor’s degree in Accountancy;➢ Must be a Certified Public Accountant (CPA), Chartered Accountant (CA), Chartered Financial Analyst (CFA) or Chartered Alternative Investment Analyst (CAIA);➢ Must have at least 3 consecutive years of experience as an accounting or finance professional;➢ Experience in Fund Administration, Asset Management Audit or equivalent is an advantage;➢ Must have experienced managing staff;➢ A team player; must be able to work individually and as part of a team;➢ Has a good business understanding of financial concepts and procedures;➢ Analytical and very detail-oriented;➢ Flexibility to expand work hours as necessary and support business needs, ➢ Graduate of Bachelor’s degree in Accountancy;, ➢ Must be a Certified Public Accountant (CPA), Chartered Accountant (CA), Chartered Financial Analyst (CFA) or Chartered Alternative Investment Analyst (CAIA);, ➢ Must have at least 3 consecutive years of experience as an accounting or finance professional;, ➢ Experience in Fund Administration, Asset Management Audit or equivalent is an advantage;, ➢ Must have experienced managing staff;, ➢ A team player; must be able to work individually and as part of a team;, ➢ Has a good business understanding of financial concepts and procedures;, ➢ Analytical and very detail-oriented;, ➢ Flexibility to expand work hours as necessary and support business needs","HCGLOBAL RESOURCE (ASIA), INC.","CITY OF MAKATI, NCR, FOURTH DISTRICT",FINANCIAL INTERMEDIATION,200 and over (Large),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/senior-accountant-1042710
ASSISTANT ACCOUNTING MANAGER,Salary not specified,"Job Specifications:➢ Graduate of Bachelor’s degree in Accountancy;➢ Must be a Certified Public Accountant (CPA), Chartered Accountant (CA), Chartered Financial Analyst (CFA) or Chartered Alternative Investment Analyst (CAIA);➢ Has at least 8 to 10 consecutive years of experience in Fund Admin Accounting, compliance, US taxation, and other business-related activity; 5 to 7 years of which as Manager or Senior Manager;➢ Strong financial reporting, regulatory compliance, and tax skills;➢ Ability to develop business relationships, both within and outside of the Company;➢ Excellent interpersonal, communication, and organization skills;➢ Computer proficient, with advanced MS Excel skills., ➢ Graduate of Bachelor’s degree in Accountancy;, ➢ Must be a Certified Public Accountant (CPA), Chartered Accountant (CA), Chartered Financial Analyst (CFA) or Chartered Alternative Investment Analyst (CAIA);, ➢ Has at least 8 to 10 consecutive years of experience in Fund Admin Accounting, compliance, US taxation, and other business-related activity; 5 to 7 years of which as Manager or Senior Manager;, ➢ Strong financial reporting, regulatory compliance, and tax skills;, ➢ Ability to develop business relationships, both within and outside of the Company;, ➢ Excellent interpersonal, communication, and organization skills;, ➢ Computer proficient, with advanced MS Excel skills.","HCGLOBAL RESOURCE (ASIA), INC.","CITY OF MAKATI, NCR, FOURTH DISTRICT",FINANCIAL INTERMEDIATION,200 and over (Large),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/assistant-accounting-manager-1042709
SALES & MARKETING ASSISTANT,₱0.00,"* Graduate of any 4-year course* With experience in the related field is an advantage* Willing to be assigned in Mandaue City* Good communication and interpersonal skills capable of   maintaining strong relationships.* Strong organizational and multi-tasking skills., * With experience in the related field is an advantage, * Willing to be assigned in Mandaue City, * Good communication and interpersonal skills capable of   maintaining strong relationships., * Strong organizational and multi-tasking skills.",PRO-DIGIES INC,"MANDAUE CITY, CEBU",ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS AND UNDIFFENTIATED PRODUCTION ACTIVITIES OF PRIVATE,200 and over (Large),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-marketing-assistant-1042707
JANITOR,Salary not specified,"NBI, Police, Brgy clearancesHigh school diplomaEmployment certificate, High school diploma, Employment certificate",DIAR'S ASSISTANCE INCORPORATED,"SILANG, CAVITE","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),Educ level not specified,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/janitor-1042706
ADMINISTRATIVE ASSISTANT,₱480.00,"BS Information Technology or Engineering graduate, Computer Literate, hardworking and good communication skills.",KABANKALAN COMMUNITY ANTENNA TELEVISION SYSTEM INC.,"CITY OF KABANKALAN, NEGROS OCCIDENTAL","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),COLLEGE GRADUATE,Contractual,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/administrative-assistant-1042689
