Title,Release,Cast,Genre,Theme,Languages in Movie,Studio,Country Produced
Black Is King,2020,"Beyoncé, Adut Akech, Naomi Campbell, Blue Ivy Carter, Connie Chiume, Lupita Nyong'o, Kelly Rowland, Moonchild Sanelly, Nandi Madida, Nyaniso Dzedze, Warren Masemola, Yemi Alade, Papi Ojo, Jay-Z, Pharrell Williams, Tina Knowles, Aweng Ade-Chuol, Folajomi Akinmurele, Jessie Reyez, Shatta Wale, Mary Twala",Music,"Song And Dance, Musical Lyrics Broadway Tune Vocals",English,"Parkwood Entertainment, Walt Disney Pictures",Usa
The Eighth Day,1996,"Daniel Auteuil, Pascal Duquenne, Miou-Miou, Henri Garcin, Isabelle Sadoyan, Fabienne Loriaux, Juliette Van Dormael, Sabrina Leurquin, Dieudonné Kabongo, Michele Maes, Alice van Dormael, Marie-Pierre Meinzel, Laszlo Harmati, Dominique Lecat, Roland De Pauw, Jo De Backer, Lotfi Yahya Jedidi, André Simon, Monique Florin, Jean Bollery, Jean-Henri Compère, Dominic Gould, Josse De Pauw, Alexandre von Sivers, Christian Hecq, Saleem Ebrahim, Rémy Julienne, Didier De Neck, Pierre Godeau, Marie Godeau, Éric De Staercke, Olivier Gourmet, Hélène Roussel, Tam Vo, Didier Ferney, Marc Schreiber, Yves Degen, Georges Siatidis, Raymond Lescot, Bernard Eylenbosch, Gérard Hernandez, Patricia Houyoux, Jacqueline Ghaye, Freddy Bournane, Christopher Granier-Deferre",Drama,"Humanity And The World Around Us, Moving Relationship Stories, Touching Cry Family Sad Tear Jerker, Sad Depressing Illness Heartbreaking Touching, Family Moving Heartbreaking Sadness Sad, Quirky Humor Relationships Endearing Humorous, Romance Captivating Loves Lover Beauty",French,"D A Films, Working Title Films, Pan Europeenne, Tf1 Films Production 1, Rtl Tvi","Belgium, France, Uk"
A Mighty Wind,2003,"Bob Balaban, Christopher Guest, John Michael Higgins, Eugene Levy, Jane Lynch, Michael McKean, Catherine O'Hara, Parker Posey, Harry Shearer, Fred Willard, Larry Miller, Ed Begley Jr., Rachael Harris, Jennifer Coolidge, Paul Dooley, Don Lake, Deborah Theaker, Bill Cobbs, Michael Mantell, Paul Benedict, Michael Hitchcock, Mary Gross, Jim Moret, Marty Belafsky, Ryan Raddatz, Laura Harris, Diane Baker, Freda Foh Shen, Jim Piddock, Mina Kolb, LeShay N. Tomlinson, Christopher Moynihan, Jim Ortlieb, Michael S. Baser","Music, Comedy","Crude Humor And Satire, Song And Dance, Comedy Funny Hilarious Broadway Musical, Gag Chuckles Slapstick Amusing Jokes, Humor Satire Jokes Amusing Humorous, Jokes Humor Chuckles Crude Gag, Band Songs Concert Musician Lyrics",English,"Castle Rock Entertainment, Warner Bros Pictures 1",Usa
Kizumonogatari Part 1: Tekketsu,2016,"Hiroshi Kamiya, Maaya Sakamoto, Yui Horie, Takahiro Sakurai, Masashi Ebara, Miyu Irino, Hochu Otsuka","Mystery, Fantasy, Animation",,Japanese,Shaft,Japan
Waves,2019,"Kelvin Harrison Jr., Taylor Russell, Renée Elise Goldsberry, Sterling K. Brown, Lucas Hedges, Alexa Demie, Neal Huff, Clifton Collins Jr., Krisha Fairchild, Ruben E. A. Brown, Joshua Brockington, Vivi Pineda, David Garelik, Bill Wise, Harmony Korine, Holland Hayes, Justin R. Chan, Albert Link, David Payton, Lulu Braha, Avis-Marie Barnes, Harlan Drum, Jon Brudzinski, Jeffrey Hersh, Dennis Deveaugh, George Greer, Carter Harcek, Alan Fritz, Kristin Wollett, Nicholas Ryan Hernandez, Taisha Perez, Ellen Marguerite Cullivan","Romance, Drama","Moving Relationship Stories, Underdogs And Coming Of Age, Family Touching Kids Cry Tear Jerker, Sad Depressing Illness Heartbreaking Touching, Touching Cry Family Sad Tear Jerker, Family Moving Heartbreaking Sadness Sad, Teenager Friendship Sad Adolescents Or Coming Of Age",English,"Bron Studios, Jw Films","Canada, Usa"
Monkey Business,1952,"Cary Grant, Ginger Rogers, Charles Coburn, Marilyn Monroe, Hugh Marlowe, Henri Letondal, Robert Cornthwaite, Larry Keating, Douglas Spencer, Esther Dale, George Winslow, Marjorie Holliday, Harry Carey, Jr., Nico Minardos, Charlotte Austin, Harry Bartell, Faire Binney, Tex Brodus, Olive Carey, Harry Carter, Melinda Casey, Ronnie Clark, Russ Clark, Heinie Conklin, George Eldredge, Kathleen Freeman, Terry Goodman, Dabbs Greer, Howard Hawks, George Hoagland, Perk Lazelle, Rudy Lee, Louis Lettieri, Mickey Little, Emmett Lynn, Paul Maxey, John McKee, Bill McLean, Joseph Mell, Christopher Milne, Jonathan Milne, Ray Montgomery, Roger Moore, Brad Morrow, Forbes Murray, Robert Nichols, Jerry Paris, Maudie Prickett, Jimmy Roebuck, Harry Seymour, Jerry Sheldon, Olan Soule, Gil Stratton, Ruth Warren, Mack Williams, Isabel Withers",Comedy,"Crude Humor And Satire, Gag Chuckles Slapstick Amusing Jokes, Humor Satire Jokes Amusing Humorous, Comedy Funny Hilarious Broadway Musical, Humor Cartoon Funny Jokes Lovable, Jokes Humor Chuckles Crude Gag",English,20Th Century Fox,Usa
Dirty Rotten Scoundrels,1988,"Steve Martin, Michael Caine, Glenne Headly, Anton Rodgers, Barbara Harris, Ian McDiarmid, Dana Ivey, Meagen Fay, Frances Conroy, Nicole Calfan, Aïna Walle, Cheryl Pay, Nathalie Auffret, Lolly Susi, Rupert Holliday-Evans, Hepburn Graham, Xavier Maly, André Penvern, Louis Zorich, Georges Gerrard Baffos, Valerie Beaufils","Comedy, Crime","Crude Humor And Satire, Gag Chuckles Slapstick Amusing Jokes, Humor Satire Jokes Amusing Humorous, Chemistry Hilarious Romantic Comedy Sweet Or Humorous, Jokes Humor Chuckles Crude Gag, Comedy Funny Hilarious Broadway Musical",English,Orion Pictures,Usa
Matinee,1993,"John Goodman, Cathy Moriarty, Simon Fenton, Omri Katz, Lisa Jakub, Kellie Martin, Jesse Lee Soffer, Lucinda Jenney, James Villemaire, Robert Picardo, Jesse White, Dick Miller, John Sayles, David Clennon, Lucy Butler, Georgie Cranford, Nick Bronson, Cory Barlog, George Carson, Joe Gonzalez, Belinda Balaski, Charles S. Haas, Mark McCracken, Archie Hahn, Naomi Watts, Chris Stacy, Allison McKay, Glenda Chism, Aaron Stormer, Lana Bucciarelli, Richard Rossomme, D. Christian Gottshall, Bernard Blanding, Dennis Neal, Luke Halpin, Eulan Middlebrooks, Elizabeth Dimon, Shane Obedzinski, Summer-Healy Chapin, James Scott Hess, Shawn Edward Watkins, Danny Hanemann, Jesse Zeigler, Andy Isaacs, Joe Candelora, Steve Zurk, Mary Moriarty, John Paul Lehman, Jacob Witkin, Tracy Roberts, Marc Macaulay, Timothy Bass, Jeff Breslauer, Molly Conole, Peggy O'Neal, Colette Piceau, Steve DuMouchel, Kurt Smildsin, Michael T. Kelly, Ike Pappas, Brett Rice, Sherman 'Big Train' Bergman, Robert Cornthwaite, Joey Fatone, Sherrie Peterson, William Schallert, Elijah Vorrasi, Kevin McCarthy","Comedy, Drama","Underdogs And Coming Of Age, Creature Monster Scary Horror Suspense, Supernatural Chilling Eerie Terrifying Dread",English,"Universal Pictures, Falcon Productions, Renfield Productions",Usa
The Blade,1995,"Vincent Zhao Wenzhuo, Xiong Xinxin, Sonny Song, Austin Wai Tin-Chi, Moses Chan, Chung Bik-Ha, Jason Chu Wing-Tong, Valerie Chow, Michael Tse, Chin Tsi-Ang, Chan Chi-Fai, Dickens Chan Wing-Chung, Suet Nei, Sze-Ma Wah-Lung, Paco Yick Tin-Hung, Raymond Wong Ying-Wah, Yuen Bun, Collin Chou, Tsim Siu-Ling, William Ho Ka-Kui, Wong Man-Shing, Lee Diy-Yue, Charles Shen, So Wai-Nam, Lee Tat-Chiu, Sam Kai-Sen Huang, Choi Kwok-Ping, Hon Ping, Law Wai-Kai, Chan Ka-King, Suen Muk-Sang, Suen Ping, Baat Leung-Gam, Chow Kin-Keung, Lee Kin-Kwan, Ling Kam-Wa, Lee Lan-Yue, Lau Tung-Ching, Lee Kin, Adam Chan Chung-Tai, Andy Cheng, Kwong Lung",Action,"Epic Heroes, Martial Arts Intense Combat, Swords Battle Fantasy Epic Magic",Cantonese,"Film Workshop, Orange Sky Golden Harvest",Hong-Kong
Fate,2001,"Serdar Orçin, Zeynep Tokuş, Demir Karahan, Engin Günaydın, Nejmi Aykar, Türkan İnce, Feridun Koç, Canan Akgül, Nazan Kesal, Emrah Elçiboğa, Erol Babaoğlu, Şehsuvar Aktaş, Apo Demirkubuz, Serdar Akar, Sinan Ekşi, Gökhan Atılmış",Drama,,Turkish,Mavi Film,Turkey
The Weather Underground,2002,"Lili Taylor, Bernardine Dohrn, Mark Rudd, Brian Flanagan, David Gilbert, Bill Ayers, Kathleen Cleaver, Laura Whitehorn",Documentary,"Politics And Human Rights, War And Historical Adventure, Documentary Propaganda Democracy Politician Patriot, Politician Assassination Democracy President Compelling, Racism African American Powerful Hatred Or Slavery, Fought Army Battlefield Conflict Battle, Historical Propaganda Political Patriotism Historic",English,The Free History Project,Usa
Somewhere in the Night,1946,"John Hodiak, Nancy Guild, Lloyd Nolan, Richard Conte, Josephine Hutchinson, Fritz Kortner, Margo Woode, Sheldon Leonard, Lou Nova, Whit Bissell, John Russell, Philip Van Zandt, John Kellogg, Richard Benedict, Milton Kibbee, Jeff Corey, Sam Flint, Forbes Murray, Harry Morgan, Charles Arnt, John Ireland","Thriller, Mystery","Thrillers And Murder Mysteries, Film Noir Femme Fatale 1940S Thriller Or Intriguing, Murderer Clues Suspects Suspense Intriguing, Thriller Cops Suspense Killer Twist",English,20Th Century Fox,Usa
Johnny Eager,1941,"Robert Taylor, Lana Turner, Edward Arnold, Van Heflin, Robert Sterling, Patricia Dane, Glenda Farrell, Henry O'Neill, Diana Lewis, Barry Nelson, Charles Dingle, Paul Stewart, Cy Kendall, Don Costello, Lou Lubin, Joe Downing, Connie Gilchrist, Robin Raymond, Leona Maricle, Byron Shores, Hooper Atchley, Arthur Belasco, Sheldon Bennett, Gladys Blake, Joyce Bryant, Jack Carr, Larry Clifford, Georgie Cooper, Jules Cowles, Cliff Danielson, John Dilson, Mike Donovan, Edward Earle, Franklyn Farnum, Harrison Greene, Alice Keating, Richard Kipling, King Lockwood, Robert Locke Lorraine, Art Miles, Johnny Mitchell, James C. Morton, Nestor Paiva, Emory Parnell, Alexander Pollard, Paul Power, Alonzo Price, Stanley Price, Fred Rapport, Janet Shaw, Elliott Sullivan, Charles Thomas, Gohr Van Vleck, Beryl Wallace, Anthony Warde, Pat West, Joe Whitehead, Florence Wix, Harry Evans","Drama, Crime","Crime Drugs And Gangsters, Ruthless Underworld Gritty Stylish Violence, Marriage Drama Family Dramas Melodrama, Film Noir Femme Fatale 1940S Thriller Or Intriguing, Murder Crime Drama Gripping Compelling, Drugs Gritty Cops Violence Powerful","English, English, Spanish","Loews Incorporated 1, Metro Goldwyn Mayer 1",Usa
Born Free,1966,"Virginia McKenna, Bill Travers, Geoffrey Keen, Peter Lukoye, Omar Chambati, Bill Godden, Robert S. Young, Bryan Epsom, Geoffrey Best, Robert Cheetham, Surya Patel, Elsa, Pati","History, Adventure, Drama, Family","Moving Relationship Stories, Dog Animals Adorable Heartwarming Family, Marriage Romance Affair Passionate Passion, Family Touching Kids Cry Tear Jerker, Sad Depressing Illness Heartbreaking Touching",English,"High Road, Open Road Films","Uk, Usa"
The Outfit,1973,"Robert Duvall, Karen Black, Joe Don Baker, Robert Ryan, Timothy Carey, Richard Jaeckel, Sheree North, Felice Orlandi, Marie Windsor, Jane Greer, Henry Jones, Joanna Cassidy, Tom Reese, Elisha Cook Jr., Bill McKinney, Anita O'Day, Archie Moore, Tony Young, Roland La Starza, Edward Ness, Roy Roberts, Toby Andersen, Emile Meyer, Roy Jenson, Philip Kenneally, Bern Hoffman, John Steadman, Paul Genge, Francis De Sales, James Bacon, Army Archerd, Tony Trabert, Lee de Broux, Bob Harks, Charles Knapp, Mike Ragan, Jeannine Riley, George Savalas, Jeffrey Sayre, Arthur Tovey, Ralph Volkie","Crime, Drama","Crime Drugs And Gangsters, Robbery Heist Cops Twist Thriller, Guns Action Violence Cops Killing, Ruthless Underworld Gritty Stylish Violence, Car Cars Racing Speed Adrenaline, Action Packed Villain Hero Adrenaline Explosives",English,Metro Goldwyn Mayer 1,Usa
Angamaly Diaries,2017,"Antony Varghese, Sarath Kumar, Tito Wilson, Bitto Davis, Sinoj Varghese, Anna Reshma Rajan, Kichu Tellus, Ullas Jose Chemban, Vineeth Vishwam, Jolly Chirayath, Athira Patel, Sreeja Das, Benny Varghese, Merin Jose Pottackal, Binny Rinky Benjamin, Sruthi Jayan, Sreekanth Dasan, Amrutha Anna Reji, Chemban Vinod Jose, Lijo Jose Pellissery, Murugan Martin, Vineeth Thattil David","Thriller, Comedy, Action","Epic Heroes, Bollywood Climax Emotion Lyrics Catchy",Malayalam,Friday Film House,India
Bad Genius,2017,"Chutimon Chuengcharoensukying, Eisaya Hosuwan, Teeradon Supapunpinyo, Chanon Santinatornkul, Thaneth Warakulnukroh, Pasin Kuansataporn, Ego Mikitas, Sarinrat Thomas, Sahajak Boonthanakit, Kanjana Vinaipanid, Yuthapong Varanukrohchoke, Nopawat Likitwong, Best Vittawin Veeravidhayanant, Suwijak Mahatthanachotwanich, Narwin Rathlertkarn, Thanawat Sutat Na Ayutthaya, Thanachart Phinyocheep, Thanwalai Pornjirattikal, Natchanok Kamonrattananan, Thanyarat Naovaratpong, Theerasak Udomsub, Sivapee Mapaisalkij, Bundit Saejiw, Kobrsak Noomnoi, Uraiwan Puvichitsutin, Somchai Ruedikunrangsi, Sasidis Sasisakulporn, Panot Sukhjitr, Boonyarich Baijiam, David Gray, Laluna Nitze, Rod Mabin, David Bloom, Neil Hayes, Neil Hayes, Amie Cicciarello, Valerie Bentson, Taffy Marufu, Markus Waldow, Arisa Hansura, Napha Sinxayvoravong, Arisa Ogata, Suttida Wongpramoth, Connor Malanos, Salaithip Charubhumi, Heather Prowse, Benjamin Nitze, Valentin Velkov, Suquan Bulakul, Pitchatorn Santinatornkul","Crime, Drama, Thriller, Comedy","Underdogs And Coming Of Age, Teacher Student Classroom Kids Classmates","Thai, English, Thai","Jor Kwang Films, Gdh 559 1",Thailand
The Bachelor and the Bobby-Soxer,1947,"Cary Grant, Myrna Loy, Shirley Temple, Rudy Vallee, Ray Collins, Harry Davenport, Johnny Sands, Don Beddoe, Lillian Randolph, Veda Ann Borg, Dan Tobin, Ransom M. Sherman, William Bakewell, Irving Bacon, Ian Bernard, Carol Hughes, William Hall, Gregory Gaye, Bobby Barber, Brandon Beach, Robert Bice, Robert Bray, Ellen Corby, Franklyn Farnum, Pat Flaherty, Bess Flowers, Jack Gargan, Charles Halton, J. Farrell MacDonald, Harold Miller, Garry Owen, Bob Pepper, Dore Schary, Mickey Simpson, Larry Steers, Norman Thomson, Tom Coleman, Herbert Evans, William Forrest, Dick Gordon, Herschel Graham, Stuart Hall","Romance, Comedy","Relationship Comedy, Crude Humor And Satire, Chemistry Hilarious Romantic Comedy Sweet Or Humorous, Gag Chuckles Slapstick Amusing Jokes, Funny Nerds Girls Comedy Dork, Charming Witty Delightful Lovely Charm, Comedy Funny Hilarious Broadway Musical",English,Rko Radio Pictures,Usa
Play Dirty,1969,"Michael Caine, Nigel Davenport, Nigel Green, Harry Andrews, Patrick Jordan, Daniel Pilon, Bernard Archard, Aly Ben Ayed, Enrique Ávila, Mohsen Ben Abdallah, Mohamed Kouka, Takis Emmanuel, Scott Miller, Vivian Pickles, Michael Stevens, Anthony Stamboulieh, Jose Halufi, Stanley Caine, Jeremy Child, Dennis Brennan, Rafael Albaicín, Martin Burland, George McKeenan, Bridget Espeet","War, Adventure","War And Historical Adventure, Fought Army Battlefield Conflict Battle, Nazi Hitler Jewish Historical Holocaust, Duty Heroic Battle Pilot Patriotism, Spy Intrigue Thriller Suspense Tense, Fought Army Fighting Heroic Battle","English, German, English, Arabic, French, Russian","Lowndes Productions Limited, United Artists",Uk
The Private Life of Sherlock Holmes,1970,"Robert Stephens, Colin Blakely, Geneviève Page, Christopher Lee, Tamara Toumanova, Clive Revill, Irene Handl, Mollie Maureen, Stanley Holloway, Catherine Lacey, Peter Madden, Michael Balfour, James Copeland, John Garrie, Godfrey James, Robert Cawdron, Alex McCrindle, Frank Thornton, Paul Hansard, George Benson, Anne Blake","Comedy, Crime, Adventure, Mystery, History","Crude Humor And Satire, Murderer Clues Suspects Suspense Intriguing, Humor Satire Jokes Amusing Humorous, Gag Chuckles Slapstick Amusing Jokes, Weird Surreal Dream Bizarre Confusing","English, German, French, Russian, English","Sir Nigel Films, United Artists, The Mirisch Company, Compton Films, Phalanx Productions","Uk, Usa"
The Night Strangler,1973,"Darren McGavin, Jo Ann Pflug, Simon Oakland, Scott Brady, Wally Cox, Margaret Hamilton, Richard Anderson, John Carradine, Al Lewis, Nina Wayne, Virginia Peters, Kate Murtagh, Ivor Francis, Diane Shalet, Anne Randall, Francoise Birnheim, Regina Parton, David Armstrong, Margaret Bacon, Al Beaudine, Loren Brown, Bill Clark, Robert Cole, Tony Dante, George DiCenzo, Rudy Doucette, Bob Harks, Chester Hayes, Alan Marston, Bill McLean, Joe Phillips, Al Roberts, Arnold Roberts, Hank Robinson, Bob Templeton, George Tracy, George Washburn","Mystery, Horror, Tv-Movie, Crime","Horror The Undead And Monster Classics, Thrillers And Murder Mysteries, Murderer Clues Suspects Suspense Intriguing, Chilling Eerie Terrifying Terror Frighten, Scientist Monster Doctor Experiment Creature, Killing Slasher Gruesome Gory Bloody, Eerie Blood Gothic Mysterious Bizarre",English,Abc Circle Films,Usa
Kung Fu Hustle,2004,"Stephen Chow, Yuen Qiu, Yuen Wah, Lam Tze-chung, Bruce Leung, Huang Shengyi, Danny Chan Kwok-kwan, Chi Ling Chiu, Xing Yu, Zhihua Dong, Tenky Tin Kai-Man, Lam Suet, Kang Xi Jia, Fung Hak-On, Feng Xiaogang, Yuen Cheung-Yan, Zhang Yibai, Jiarui Ren, Xiaolong Ding, Zhang Mingming, Oliver Wong Yui-Man, Kai Shi Chen, Wellson Chin Sing-Wai, He Wenhui, David Hung, Billy Ma, Hao Tian Yuan, Steven Fung Min-Hang, Yang Neng, Chao Xia Liu, Fan Tiantian, Alex Lam Chi-Sin, Wang Shi Ying","Comedy, Fantasy, Crime, Action","Crude Humor And Satire, Epic Heroes, Martial Arts Intense Combat, Gag Chuckles Slapstick Amusing Jokes, Action Villain Silly Cool Hero, Jokes Humor Chuckles Crude Gag, Humor Satire Jokes Amusing Humorous",Cantonese,"Star Overseas, China Film Co Production Corporation, Huayi Brothers Pictures 1, Beijing Film Studio, China Film Group Corporation 1, Columbia Pictures, Sony Pictures Classics, Columbia Pictures Film Production Asia","China, Hong-Kong, Usa"
Tsotsi,2005,"Presley Chweneyagae, Jerry Mofokeng, Terry Pheto, Zenzo Ngqobe, Zola, Rapulana Seiphemo, Nambitha Mpumlwana, Percy Matsemela, Thembi Nyandeni, Owen Sejake, Israel Makoe, Sindi Khambule, Benny Moshe, Mothusi Magano, Kenneth Nkosi, Ian Roberts, Bheki Vilakazi, Craig Palm, Jeremiah Ndlovu, Sibusiso Mkize, Lindokuhle Ndlovu, Lennox Mathabathe, Eduan van Jaarsveldt, Brian Rolfe, Ishmael Songo","Crime, Drama","Crime Drugs And Gangsters, Humanity And The World Around Us, Moving Relationship Stories, Drugs Gritty Cops Violence Powerful, Ruthless Underworld Gritty Stylish Violence, Murder Crime Drama Gripping Compelling, Sad Depressing Illness Heartbreaking Touching, Family Touching Kids Cry Tear Jerker","Tswana, Afrikaans, English, Southern-Sotho, Tswana, Zulu","Movieworld Productions 1, Uk Film Tv Production Company, National Film Video Foundation Of South Africa, Industrial Development Corporation Of South Africa 1","South-Africa, Uk"
Pink,2016,"Amitabh Bachchan, Taapsee Pannu, Kirti Kulhari, Andrea Tariang, Angad Bedi, Dhritiman Chatterjee, Piyush Mishra, Vijay Varma, Mamta Malik, Jogi Malang, Swaroopa Ghosh, Vinod Nagpal","Thriller, Drama","Moving Relationship Stories, Teenager Friendship Sad Adolescents Or Coming Of Age, Bollywood Climax Emotion Lyrics Catchy","Hindi, Hindi, English","Saraswati Entertainment Creations Limited, Rising Sun Films",India
Chocolat,1988,"Isaach De Bankolé, Giulia Boschi, François Cluzet, Jean-Claude Adelin, Mireille Perrier, Laurent Arnal, Jean Bédiébé, Cécile Ducasse, Didier Flamand, Emmanuelle Chaulet, Kenneth Cranham",Drama,,"French, English, French, Hausa","Cinemanuel, Cerito Films, Caroline Productions, La Sept Cinema, Le Fodic Cameroun, Mk2 Films 1, Tf1 Films Production 1, Wim Wenders Productions","Germany, Cameroon, France"
Rhapsody in August,1991,"Sachiko Murase, Hidetaka Yoshioka, Tomoko Otakara, Mieko Suzuki, Mitsunori Isaki, Hisashi Igawa, Toshie Negishi, Chōichirō Kawarasaki, Narumi Kayashima, Richard Gere, Matsue Ono, Kappei Matsumoto, Yoshiko Maki, Noriko Honma, Natsuyo Kawakami, Kumeko Otowa, Michio Kida, Shizuko Azuma, Sachio Sakai, Yoshie Kihira, Junpei Natsuki, Setsuko Kawaguchi, Shigeo Katô, Hiroko Maki, Goichi Nagatani, Motohiro Toriki, Wasuke Izumi, Torauemon Utazawa, Eiko Koike, Yukie Shimura, Saburô Kadowaki",Drama,"Politics And Human Rights, Fought Army Battlefield Conflict Battle, Family Moving Heartbreaking Sadness Sad, Moving Sadness Beauty Tragic Heartbreaking, Racism African American Powerful Hatred Or Slavery, Family Touching Kids Cry Tear Jerker",Japanese,"Kurosawa Production, Shochiku 2",Japan
Face/Off,1997,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola, Gina Gershon, Dominique Swain, Nick Cassavetes, Harve Presnell, Colm Feore, John Carroll Lynch, CCH Pounder, Robert Wisdom, Margaret Cho, James Denton, Matt Ross, Chris Bauer, Myles Jeffrey, David McCurley, Thomas Jane, Tommy Flanagan, Dana Smith, Romy Walthall, Paul Hipp, Kirk Baltz, Lauren Sinclair, Ben Reed, Lisa Boyle, Linda Hoffman, Danny Masterson, Father Michael Rocha, Megan Paul, Mike Werb, Tom Reynolds, Steve Hytner, Carmen Thomas, John Bloom, Thomas Rosales Jr., Walter Scott, Brooke Leslie, Cam Brainard, David Warshofsky, John Neidlinger, Norm Compton, Gregg Shawzin, Clifford Einstein, Marco Kyris, Tom Fridley, Andrew Wallace, Jacinto Rodriguez, Chic Daniel, Laurence Walsh, Tony Boldi, Khristian Lupo, William Morts, Darren Pele, Joan Beal, Neill Calabro, Jason Thomas Campbell, Tory Christopher, Robert 'Bobby Z' Zajonc, Del Zamora","Crime, Action, Science-Fiction","High Speed And Special Ops, Epic Heroes, Action Packed Villain Hero Adrenaline Explosives, Villain Superhero Action Packed Cool Exciting, Guns Action Violence Cops Killing, Car Cars Racing Speed Adrenaline, Prison Jail Convicts Brutal Brutality","English, English, Latin","Krane Entertainment, Paramount 1, Permut Presentations, Wcg Entertainment Productions, Touchstone Pictures, Douglas Reuther Productions",Usa
The Fly,1958,"David Hedison, Patricia Owens, Vincent Price, Herbert Marshall, Kathleen Freeman, Betty Lou Gerson, Charles Herbert, Eugene Borden, George Calliga, Harry Carter, Bill Clark, Arthur Dulac, Bess Flowers, Herschel Graham, Torben Meyer, Sol Murgi, George Nardelli, Franz Roehn, Charles Tannen","Science-Fiction, Drama, Horror","Horror The Undead And Monster Classics, Thrillers And Murder Mysteries, Scientist Monster Doctor Experiment Creature, Supernatural Chilling Eerie Terrifying Dread, Creature Monster Scary Horror Suspense, Chilling Eerie Terrifying Terror Frighten, Thriller Suspense Twist Psychological Intriguing","English, English, French","20Th Century Fox, Regal Films",Usa
Minnie and Moskowitz,1971,"Gena Rowlands, Seymour Cassel, Val Avery, Timothy Carey, Katherine Cassavetes, Elizabeth Deering, Elsie Ames, Lady Rowlands, Holly Near, Judith Roberts, Jack Danskin, Eleanor Zee, Sean Joyce, David Rowlands, John Cassavetes, Xan Cassavetes, Zoe Cassavetes, Roberta Collins, Bruce Brown, Darren Moloney","Romance, Drama, Comedy","Relationship Comedy, Quirky Humor Relationships Endearing Humorous, Charming Witty Delightful Lovely Charm, Marriage Romance Affair Passionate Passion, Chemistry Hilarious Romantic Comedy Sweet Or Humorous, Romance Captivating Loves Lover Beauty",English,Universal Pictures,Usa
Going in Style,1979,"George Burns, Art Carney, Lee Strasberg, Charles Hallahan, Pamela Payton-Wright, Siobhan Keegan, Brian Neville, Constantine Hartofolis, Mary Testa, Jean Shevlin, James Manis, Tito Goya, Christopher Wynkoop, John McComb, Melvin Jurdem, Joseph Sullivan, Bob Maroff, Jim Tipton, Ron Gagliano, Victor Masi, Raymond Kernodle, Richard Teng, Patrick Donoho, Barbara Ann Miller, Betty Bunch, Karen Montgomery, Catherine L. Billich, Robert J. Zay, Anthony D. Call, William Larson, Reathel Bean, Alan Brooks, Mark Margolis, Pedro E. Ocampo, Sr., Tony DiBenedetto, Paul L. Smith, Bruce Charles, Margot Stevenson, William Pabst, Vivian Edwards","Comedy, Crime","Crude Humor And Satire, Quirky Humor Relationships Endearing Humorous, Robbery Heist Cops Twist Thriller, Gag Chuckles Slapstick Amusing Jokes, Sad Depressing Illness Heartbreaking Touching",English,Warner Bros Pictures 1,Usa
Star Trek: First Contact,1996,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn, Gates McFadden, Marina Sirtis, James Cromwell, Alfre Woodard, Alice Krige, Neal McDonough, Dwight Schultz, Cameron Oppenheimer, Robert Picardo, Adam Scott, Ray Uhler, Eric Steinberg, Joey Anaya, Don Stark, Patti Yasutake, Jack Shearer, Michael Horton, Ethan Phillips, Majel Barrett","Science-Fiction, Action, Thriller, Adventure","Monsters Aliens Sci Fi And The Apocalypse, Epic Heroes, Future Action Technology Technological Humanity, Spaceship Space Technology Future Destruction, Space Spaceship Earth Mankind Scientific, Villain Superhero Action Packed Cool Exciting, Creature Monster Scary Horror Suspense",English,Paramount 1,Usa
Big Fish,2003,"Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, Helena Bonham Carter, Alison Lohman, Robert Guillaume, Marion Cotillard, Matthew McGrory, David Denman, Missi Pyle, Loudon Wainwright III, Ada Tai, Arlene Tai, Steve Buscemi, Danny DeVito, Deep Roy, Perry Walston, Hailey Anne Nelson, Grayson Stone, R. Keith Harris, Karla Droege, Zac Gardner, John Lowell, Darrell Vanterpool, Miley Cyrus, Joseph Humphrey, Morgan Grace Jarrett, Sallie Hedrick, Charles McLawhorn, Frank Hoyt Taylor, Savanna James, Billy Redden, James DeForest Parker, Russell Hodgkinson, Don Young, Jayne Morgan, David Ramsey, Greg Hohn, Zach Hanner, George McArthur, Jeff Campbell, Lawrence Sykkmon, Bonnie Johnson, Howard Houston Jr., Joanne Pankow, Trevor Gagnon, Jacob Radford, Karlos Walkes, Cathy Berry, John Fugate, Daniel Wallace, Metz Duites, Vincent J. Ybiernas, Barry C. Harvard, Edward Aldag, Michael Garnet Stewart, C. Alan Rawlins Sr., Jake Brake, Bevin Kaye, L.C. Holt, Will Thomas","Drama, Adventure, Fantasy","Humanity And The World Around Us, Moving Relationship Stories, Death Symbolism Philosophical Thought Provoking Surreal, Touching Cry Family Sad Tear Jerker, Family Touching Kids Cry Tear Jerker, Weird Surreal Dream Bizarre Confusing, Sad Depressing Illness Heartbreaking Touching",English,"Columbia Pictures, The Zanuck Company, Jinks Cohen Company, Tim Burton Productions",Usa
